,Date,Year,Country_1,Country_2,Score_1,Score_2,Competition,Location,Elo_Score_Change_1,Elo_Score_Change_2,Elo_Score_New_1,Elo_Score_New_2,Rank_Change_1,Rank_Change_2,Rank_New_1,Rank_New_2
36,March 22,2018,Burkina Faso,Guinea-Bissau,2,0,Friendly,in France,4,-4,1609,1289,4,0,59,135
37,March 22,2018,Belize,Grenada,4,2,Friendly,in Belize,9,-9,1168,1103,0,0,169,174
38,March 22,2018,Bahrain,Palestine,0,0,Friendly,in Bahrain,-3,3,1399,1403,-1,2,108,106
39,March 22,2018,Algeria,Tanzania,4,1,Friendly,in Algeria,4,-4,1542,1295,1,-3,71,133
40,March 23,2018,Uruguay,Czechia,2,0,Friendly tournament,in China,13,-13,1880,1700,0,-5,13,43
41,March 23,2018,Turkey,Ireland,1,0,Friendly,in Turkey,8,-8,1720,1724,3,-1,36,35
42,March 23,2018,Tunisia,Iran,1,0,Friendly,in Tunisia,12,-12,1636,1789,1,0,52,22
43,March 23,2018,Tahiti,New Caledonia,4,3,Friendly,in Tahiti,7,-7,1225,1207,2,-2,156,161
44,March 23,2018,Singapore,Maldives,3,2,Friendly,in Singapore,4,-4,1061,935,0,-1,183,198
45,March 23,2018,Senegal,Uzbekistan,1,1,Friendly,in Morocco,-4,4,1748,1613,-1,4,29,55
46,March 23,2018,Scotland,Costa Rica,0,1,Friendly,in Scotland,-12,12,1708,1758,-3,6,39,25
47,March 23,2018,Saudi Arabia,Ukraine,1,1,Friendly,in Spain,5,-5,1570,1732,1,0,67,33
48,March 23,2018,Russia,Brazil,0,3,Friendly,in Russia,-5,5,1693,2119,-2,0,45,1
49,March 23,2018,Portugal,Egypt,2,1,Friendly,in Switzerland,3,-3,1998,1656,0,1,4,49
50,March 23,2018,Poland,Nigeria,0,1,Friendly,in Poland,-16,16,1826,1712,0,6,19,38
51,March 23,2018,Peru,Croatia,2,0,Friendly,in the United States,14,-14,1895,1842,2,-2,10,18
52,March 23,2018,Norway,Australia,4,1,Friendly,in Norway,20,-20,1602,1708,2,-4,64,39
53,March 23,2018,Netherlands,England,0,1,Friendly,in the Netherlands,-12,12,1884,1945,-1,0,12,7
54,March 23,2018,Morocco,Serbia,2,1,Friendly,in Italy,12,-12,1703,1757,4,-2,41,26
55,March 23,2018,Mexico,Iceland,3,0,Friendly,in the United States,15,-15,1870,1798,2,0,15,21
56,March 23,2018,Japan,Mali,1,1,Friendly,in Belgium,-5,5,1701,1519,0,0,42,79
57,March 23,2018,Hungary,Kazakhstan,2,3,Friendly,in Hungary,-18,18,1594,1358,-9,1,66,120
58,March 23,2018,Guadeloupe,Trinidad and Tobago,0,1,Friendly,in Guadeloupe,-8,8,1259,1428,-1,4,144,97
59,March 23,2018,Greece,Switzerland,0,1,Friendly,in Greece,-7,7,1655,1873,-1,0,50,14
60,March 23,2018,Germany,Spain,1,1,Friendly,in Germany,-5,5,2104,2037,0,0,2,3
61,March 23,2018,Gambia,Central African Republic,1,1,Friendly,in The Gambia,-2,2,1276,1299,-1,1,140,129
62,March 23,2018,France,Colombia,2,3,Friendly,in France,-14,14,1976,1941,-1,1,6,8
63,March 23,2018,Finland,Macedonia,0,0,Friendly,in Turkey,-2,2,1600,1522,0,0,65,78
64,March 23,2018,Cyprus,Montenegro,0,0,Friendly,in Cyprus,3,-3,1413,1611,0,0,104,56
65,March 23,2018,Curaçao,Bolivia,1,1,Friendly,in Curaçao,8,-8,1274,1699,3,-3,141,44
66,March 23,2018,Bulgaria,Bosnia and Herzegovina,0,1,Friendly,in Bulgaria,-10,10,1611,1730,-2,2,56,34
67,March 23,2018,Azerbaijan,Belarus,0,1,Friendly,in Azerbaijan,-10,10,1389,1508,-2,0,110,82
68,March 23,2018,Austria,Slovenia,3,0,Friendly,in Austria,10,-10,1720,1629,4,-1,36,53
69,March 23,2018,Argentina,Italy,2,0,Friendly,in England,12,-12,1997,1894,1,-1,5,11
70,March 24,2018,Zambia,South Africa,0,2,Friendly tournament,in Zambia,-27,27,1470,1557,-6,4,89,70
71,March 24,2018,Uganda,São Tomé and Príncipe,3,1,Friendly,in Uganda,2,-2,1463,1080,1,0,91,178
72,March 24,2018,Sweden,Chile,1,2,Friendly,in Sweden,-12,12,1806,1872,0,1,20,15
